algorithm,n,time,comparisons
recursiveMergeSort,1852,0.09404182434082031,"17801
"
recursiveMergeSort,2611,0.09456777572631836,"26443
"
recursiveMergeSort,2611,0.09462809562683105,"26468
"
recursiveMergeSort,2611,0.09531307220458984,"26445
"
recursiveMergeSort,2611,0.09497308731079102,"26425
"
recursiveMergeSort,2611,0.09631514549255371,"26361
"
recursiveMergeSort,3682,0.09803271293640137,"38991
"
recursiveMergeSort,3682,0.09937119483947754,"39058
"
recursiveMergeSort,3682,0.09940910339355469,"39073
"
recursiveMergeSort,3682,0.1014101505279541,"38992
"
recursiveMergeSort,3682,0.10069417953491211,"39072
"
recursiveMergeSort,5192,0.10294127464294434,"57724
"
recursiveMergeSort,5192,0.1644737720489502,"57571
"
recursiveMergeSort,5192,0.10851597785949707,"57690
"
recursiveMergeSort,5192,0.1094059944152832,"57681
"
recursiveMergeSort,5192,0.11052393913269043,"57626
"
recursiveMergeSort,7321,0.11647677421569824,"84774
"
recursiveMergeSort,7321,0.1427450180053711,"84901
"
recursiveMergeSort,7321,0.1210639476776123,"84792
"
recursiveMergeSort,7321,0.12697124481201172,"84770
"
recursiveMergeSort,7321,0.11770415306091309,"84797
"
recursiveMergeSort,10323,0.1150369644165039,"124739
"
recursiveMergeSort,10323,0.11395716667175293,"124724
"
recursiveMergeSort,10323,0.11119508743286133,"124871
"
recursiveMergeSort,10323,0.11544394493103027,"124847
"
recursiveMergeSort,10323,0.11401700973510742,"124779
"
recursiveMergeSort,14556,0.12084293365478516,"183129
"
recursiveMergeSort,14556,0.11956477165222168,"183164
"
recursiveMergeSort,14556,0.12085604667663574,"183128
"
recursiveMergeSort,14556,0.12120485305786133,"183179
"
recursiveMergeSort,14556,0.11719083786010742,"183161
"
recursiveMergeSort,20525,0.1988811492919922,"268512
"
recursiveMergeSort,20525,0.14940690994262695,"268620
"
recursiveMergeSort,20525,0.13220810890197754,"268610
"
recursiveMergeSort,20525,0.13267207145690918,"268499
"
recursiveMergeSort,20525,0.13173294067382812,"268486
"
recursiveMergeSort,28940,0.13922405242919922,"392651
"
recursiveMergeSort,28940,0.1387789249420166,"392578
"
recursiveMergeSort,28940,0.14582490921020508,"392747
"
recursiveMergeSort,28940,0.20329713821411133,"392660
"
recursiveMergeSort,28940,0.14929580688476562,"392734
"
recursiveMergeSort,40805,0.15961098670959473,"574296
"
recursiveMergeSort,40805,0.15948009490966797,"574105
"
recursiveMergeSort,40805,0.15659809112548828,"574381
"
recursiveMergeSort,40805,0.1693859100341797,"574149
"
recursiveMergeSort,40805,0.15732407569885254,"574167
"
recursiveMergeSort,57536,0.17476129531860352,"837890
"
recursiveMergeSort,57536,0.1748030185699463,"837715
"
recursiveMergeSort,57536,0.23773407936096191,"837639
"
recursiveMergeSort,57536,0.18986773490905762,"837911
"
recursiveMergeSort,57536,0.18314886093139648,"837800
"
recursiveMergeSort,81126,0.2647569179534912,"1222212
"
recursiveMergeSort,81126,0.20664596557617188,"1221703
"
recursiveMergeSort,81126,0.21189594268798828,"1222242
"
recursiveMergeSort,81126,0.19307327270507812,"1222309
"
recursiveMergeSort,81126,0.2072000503540039,"1222236
"
recursiveMergeSort,114387,0.2147519588470459,"1779075
"
recursiveMergeSort,114387,0.22975993156433105,"1779196
"
recursiveMergeSort,114387,0.23155784606933594,"1779404
"
recursiveMergeSort,114387,0.21839594841003418,"1779372
"
recursiveMergeSort,114387,0.23919916152954102,"1778832
"
recursiveMergeSort,161286,0.24104094505310059,"2589904
"
recursiveMergeSort,161286,0.30262112617492676,"2589714
"
recursiveMergeSort,161286,0.25189208984375,"2589643
"
recursiveMergeSort,161286,0.24999713897705078,"2590141
"
recursiveMergeSort,161286,0.32573485374450684,"2589319
"
recursiveMergeSort,227414,0.4266970157623291,"3763002
"
recursiveMergeSort,227414,0.42448902130126953,"3762874
"
recursiveMergeSort,227414,0.42781591415405273,"3762677
"
recursiveMergeSort,227414,0.44085073471069336,"3763372
"
recursiveMergeSort,227414,0.4393010139465332,"3762273
"
recursiveMergeSort,320654,0.5020737648010254,"5466172
"
recursiveMergeSort,320654,0.39386701583862305,"5466763
"
recursiveMergeSort,320654,0.552797794342041,"5465816
"
recursiveMergeSort,320654,0.48640012741088867,"5465851
"
recursiveMergeSort,320654,0.5590038299560547,"5466262
"
recursiveMergeSort,452122,0.7426040172576904,"7929355
"
recursiveMergeSort,452122,0.7386651039123535,"7929504
"
recursiveMergeSort,452122,0.7978909015655518,"7929220
"
recursiveMergeSort,452122,0.6070070266723633,"7928808
"
recursiveMergeSort,452122,0.576988935470581,"7929064
"
recursiveMergeSort,637493,0.8713412284851074,"11499490
"
recursiveMergeSort,637493,0.9565548896789551,"11500557
"
recursiveMergeSort,637493,0.8336610794067383,"11499142
"
recursiveMergeSort,637493,0.8372340202331543,"11500066
"
recursiveMergeSort,637493,1.0413320064544678,"11500427
"
